README FIRST,,,,,,,,
-----,,,,,,,,
Fields:,,,,,,,,
,,,,,,,,
Registration date,,,,,,,,
"Total usage time	(in hours)",,,,,,,,
"Pets				(YES or NO)",,,,,,,,
"Carpet score		(1 to 9)",,,,,,,,
"Sent for repair		(YES or NO)",,,,,,,,
Failure date,,,,,,,,
Battery," Impact sensor and IR sensor status	(OK or Damage)",,,,,,,
----,,,,,,,,
Registration date,Total usage time,Pets,Carpet score,Sent for repair,Failure date,Battery status,Impact status,IR status
29-Jul-19,233,NO,5,NO,---,---,---,---
08-Sep-19,152,NO,3,NO,---,---,---,---
06-Jun-16,475,NO,2,YES,07-Nov-17,OK,OK,Damage
25-Feb-19,326,NO,4,NO,---,---,---,---
17-Mar-18,1018,YES,4,NO,---,---,---,---
05-Aug-17,1312,NO,2,NO,---,---,---,---
07-Sep-18,1172,YES,4,NO,---,---,---,---
03-Sep-15,2679,YES,2,YES,23-Feb-19,Damage,OK,OK
14-Apr-18,464,NO,3,NO,---,---,---,---
11-Jul-18,536,NO,3,NO,---,---,---,---
15-Apr-17,987,NO,6,NO,---,---,---,---
06-Aug-18,561,NO,2,NO,---,---,---,---
03-Sep-19,107,NO,2,NO,---,---,---,---
11-Apr-16,1400,YES,4,YES,08-Sep-17,Damage,OK,OK
24-Apr-17,295,NO,4,YES,26-Oct-18,OK,OK,Damage
13-Sep-19,134,NO,2,NO,---,---,---,---
22-Nov-19,59,NO,3,NO,---,---,---,---
03-Aug-15,1393,NO,2,NO,---,---,---,---
17-May-17,853,NO,5,NO,---,---,---,---
20-Oct-17,824,NO,5,NO,---,---,---,---
09-Jul-19,456,YES,3,NO,---,---,---,---
11-Sep-15,1682,NO,5,NO,---,---,---,---
11-Dec-19,37,YES,4,NO,---,---,---,---
25-Sep-19,80,NO,3,NO,---,---,---,---
31-May-15,1618,NO,2,NO,---,---,---,---
27-Jul-17,1791,YES,6,NO,---,---,---,---
